No,Stasiun,Singkatan,Wilayah,Transaksi,1_Okt,2_Okt,3_Okt,4_Okt,5_Okt,6_Okt,7_Okt,8_Okt,9_Okt,10_Okt,11_Okt,12_Okt,13_Okt,14_Okt,15_Okt,16_Okt,17_Okt,18_Okt,19_Okt,20_Okt,21_Okt,22_Okt,23_Okt,24_Okt,25_Okt,26_Okt,27_Okt,28_Okt,29_Okt,30_Okt,31_Okt,Total_Volume
2,BOJONEGORO,BJ,WILAYAH 8,GO SHOW + KAI ACCESS,914.0,728.0,583.0,515.0,620.0,669.0,826.0,821.0,747.0,526.0,638.0,748.0,582.0,879.0,800.0,748.0,571.0,426.0,561.0,570.0,789.0,882.0,729.0,622.0,674.0,620.0,658.0,742.0,904.0,742.0,571.0,21405
3,KAPAS,KPS,WILAYAH 8,KAI ACCESS,126.0,113.0,91.0,94.0,69.0,99.0,89.0,157.0,106.0,75.0,71.0,44.0,55.0,90.0,126.0,96.0,93.0,57.0,83.0,86.0,83.0,142.0,140.0,83.0,52.0,60.0,65.0,83.0,159.0,117.0,94.0,2898
4,SUMBERREJO,SRJ,WILAYAH 8,KAI ACCESS,262.0,283.0,197.0,140.0,122.0,115.0,184.0,247.0,244.0,157.0,217.0,143.0,132.0,170.0,270.0,214.0,147.0,273.0,112.0,130.0,173.0,257.0,264.0,179.0,107.0,130.0,141.0,145.0,255.0,257.0,186.0,5853
5,BOWERNO,BWO,WILAYAH 8,KAI ACCESS,153.0,126.0,122.0,183.0,66.0,87.0,123.0,146.0,114.0,74.0,73.0,68.0,62.0,126.0,123.0,159.0,72.0,72.0,75.0,80.0,121.0,153.0,183.0,116.0,70.0,71.0,91.0,134.0,156.0,143.0,282.0,3624
6,BABAT,BBT,WILAYAH 8,GO SHOW + KAI ACCESS,658.0,452.0,497.0,393.0,582.0,387.0,402.0,578.0,454.0,397.0,243.0,281.0,330.0,382.0,665.0,434.0,347.0,291.0,348.0,326.0,394.0,609.0,426.0,541.0,393.0,360.0,408.0,415.0,557.0,576.0,480.0,13606
7,PUCUK,PC,WILAYAH 8,KAI ACCESS,202.0,168.0,144.0,127.0,101.0,122.0,137.0,166.0,167.0,142.0,113.0,95.0,122.0,145.0,143.0,156.0,123.0,117.0,106.0,112.0,100.0,145.0,166.0,113.0,121.0,111.0,119.0,155.0,197.0,151.0,121.0,4207
8,LAMONGAN,LMG,WILAYAH 8,GO SHOW + KAI ACCESS,600.0,585.0,641.0,489.0,472.0,637.0,765.0,664.0,557.0,545.0,514.0,524.0,618.0,691.0,687.0,550.0,521.0,578.0,547.0,627.0,642.0,613.0,588.0,801.0,591.0,524.0,768.0,657.0,657.0,681.0,617.0,18951
9,DUDUK,DD,WILAYAH 8,KAI ACCESS,43.0,40.0,43.0,43.0,46.0,41.0,66.0,46.0,50.0,47.0,40.0,40.0,34.0,45.0,50.0,32.0,44.0,40.0,50.0,62.0,53.0,63.0,39.0,36.0,42.0,30.0,44.0,36.0,42.0,35.0,32.0,1354
10,CERME,CME,WILAYAH 8,KAI ACCESS,188.0,98.0,228.0,87.0,231.0,113.0,169.0,117.0,118.0,79.0,69.0,73.0,107.0,105.0,145.0,106.0,83.0,88.0,76.0,117.0,114.0,135.0,100.0,109.0,81.0,75.0,96.0,113.0,124.0,101.0,77.0,3522
11,BENOWO,BNW,WILAYAH 8,KAI ACCESS,105.0,90.0,63.0,67.0,58.0,98.0,144.0,110.0,93.0,66.0,61.0,39.0,74.0,118.0,125.0,83.0,58.0,64.0,48.0,76.0,156.0,147.0,70.0,100.0,83.0,62.0,77.0,138.0,127.0,64.0,74.0,2738
12,KANDANGAN,KDA,WILAYAH 8,KAI ACCESS,141.0,94.0,102.0,71.0,82.0,73.0,131.0,112.0,114.0,76.0,53.0,81.0,66.0,107.0,124.0,111.0,74.0,103.0,70.0,92.0,156.0,171.0,109.0,71.0,76.0,81.0,94.0,134.0,195.0,110.0,72.0,3146
13,INDRO,IDO,WILAYAH 8,GO SHOW + KAI ACCESS,573.0,298.0,237.0,372.0,266.0,321.0,604.0,589.0,292.0,218.0,187.0,204.0,293.0,639.0,559.0,312.0,234.0,356.0,194.0,283.0,341.0,621.0,291.0,252.0,273.0,207.0,306.0,411.0,581.0,281.0,213.0,10808
14,TANDES,TES,WILAYAH 8,KAI ACCESS,212.0,199.0,189.0,193.0,233.0,320.0,271.0,201.0,195.0,221.0,185.0,271.0,305.0,275.0,211.0,207.0,209.0,177.0,232.0,292.0,293.0,213.0,162.0,173.0,157.0,245.0,306.0,273.0,179.0,169.0,176.0,6944
15,SURABAYAPASARTURI,SBI,WILAYAH 8,GO SHOW + KAI ACCESS,2196.0,1432.0,1443.0,1379.0,1958.0,2051.0,2197.0,2382.0,1445.0,1435.0,1618.0,1589.0,2031.0,2178.0,2328.0,1432.0,1561.0,1649.0,1710.0,2042.0,2119.0,2228.0,1414.0,1332.0,1425.0,1663.0,2094.0,2123.0,2117.0,1321.0,1574.0,55466
16,SURABAYAKOTA,SB,WILAYAH 8,GO SHOW + KAI ACCESS,1545.0,1094.0,1221.0,1200.0,1165.0,1333.0,1608.0,1498.0,1177.0,1215.0,1186.0,1012.0,1425.0,1490.0,1511.0,1198.0,1181.0,1183.0,1263.0,1340.0,1346.0,1477.0,1134.0,1214.0,1391.0,1105.0,1531.0,1387.0,1266.0,1084.0,1066.0,39846
17,SURABAYAGUBENG,SGU,WILAYAH 8,GO SHOW + KAI ACCESS,4970.0,4274.0,3977.0,4239.0,4469.0,5643.0,5674.0,5191.0,4544.0,4341.0,4465.0,4573.0,5602.0,5329.0,5150.0,4453.0,4457.0,4358.0,4819.0,5734.0,5670.0,5168.0,4348.0,4468.0,4152.0,4767.0,5764.0,5321.0,5057.0,4221.0,4057.0,149255
18,WARU,WR,WILAYAH 8,GO SHOW + KAI ACCESS,1089.0,887.0,593.0,719.0,663.0,821.0,952.0,1009.0,780.0,623.0,626.0,660.0,866.0,971.0,1032.0,828.0,670.0,615.0,700.0,814.0,937.0,1067.0,796.0,608.0,582.0,681.0,783.0,934.0,1064.0,811.0,619.0,24800
